date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:02	22/22	---M--	200	added ('OK')	text/plain	date:Wed,%2006%20Feb%202013%2002:54:33%20GMT	https://vceit.com/robots.txt		(from )
18:28:02	228/228	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Sep%202019%2008:28:07%20GMT	https://vceit.com/	C:/My%20Web%20Sites/vceit/vceit.com/index.html	(from )
18:28:03	22/22	---M--	200	added ('OK')	text/plain	date:Wed,%2006%20Feb%202013%2002:54:33%20GMT	http://vceit.com/robots.txt		(from https://vceit.com/)
18:28:03	21676/21676	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202019%2008:28:08%20GMT	http://vceit.com/wp/	C:/My%20Web%20Sites/vceit/vceit.com/wp/index.html	(from https://vceit.com/)
18:28:04	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2018%20Sep%202019%2008:28:08%20GMT	http://vceit.com/wp/xmlrpc.php	C:/My%20Web%20Sites/vceit/vceit.com/wp/xmlrpc.php	(from http://vceit.com/wp/)
18:28:04	29295/29295	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202019%2022:10:04%20GMT	http://vceit.com/wp/wp-includes/css/dist/block-library/style.min.css?ver=0360611ccebca7c9f53642f61982dc0f	C:/My%20Web%20Sites/vceit/vceit.com/wp/wp-includes/css/dist/block-library/style.minac12.css	(from http://vceit.com/wp/)
18:28:04	1495/1495	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Mar%202019%2019:40:00%20GMT	http://vceit.com/wp/wp-includes/css/dist/block-library/theme.min.css?ver=0360611ccebca7c9f53642f61982dc0f	C:/My%20Web%20Sites/vceit/vceit.com/wp/wp-includes/css/dist/block-library/theme.minac12.css	(from http://vceit.com/wp/)
18:28:05	1685/1685	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Nov%202018%2019:01:26%20GMT	http://vceit.com/wp/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	C:/My%20Web%20Sites/vceit/vceit.com/wp/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from http://vceit.com/wp/)
18:28:05	841/841	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202017%2001:01:17%20GMT	http://vceit.com/wp/wp-content/plugins/easy-countdowner/assets/TimeCircles.css?ver=1.0	C:/My%20Web%20Sites/vceit/vceit.com/wp/wp-content/plugins/easy-countdowner/assets/TimeCircles5152.css	(from http://vceit.com/wp/)
18:28:05	870/870	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2007%20Jan%202016%2002:19:11%20GMT	http://vceit.com/wp/vceit/feed/	C:/My%20Web%20Sites/vceit/vceit.com/wp/vceit/feed/index.html	(from http://vceit.com/wp/)
